city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Birchwood Village,Birchwood Village,MN,Minnesota,27163,Washington,27163,Washington,45.0598,-92.9777,888,1005,polygon,FALSE,TRUE,America/Chicago,3,55110,1840110699
Regal,Regal,MN,Minnesota,27067,Kandiyohi,27067,Kandiyohi,45.4054,-94.8397,35,26,polygon,FALSE,TRUE,America/Chicago,3,56312,1840042893
St. Peter,St. Peter,MN,Minnesota,27103,Nicollet,27103,Nicollet,44.3296,-93.9659,12372,753,polygon,FALSE,TRUE,America/Chicago,3,56082,1840042969
Aurora,Aurora,MN,Minnesota,27137,St. Louis,27137,St. Louis,47.5312,-92.2399,1646,167,polygon,FALSE,TRUE,America/Chicago,3,55705,1840043755
Glencoe,Glencoe,MN,Minnesota,27085,McLeod,27085,McLeod,44.7699,-94.1513,5407,677,polygon,FALSE,TRUE,America/Chicago,3,55336,1840043900
Fairfax,Fairfax,MN,Minnesota,27129,Renville,27129,Renville,44.5283,-94.7231,1142,336,polygon,FALSE,TRUE,America/Chicago,3,55332,1840042354
Aitkin,Aitkin,MN,Minnesota,27001,Aitkin,27001,Aitkin,46.5303,-93.7051,2016,339,polygon,FALSE,TRUE,America/Chicago,3,56431,1840042021
Sanborn,Sanborn,MN,Minnesota,27127,Redwood,27127,Redwood,44.2098,-95.1297,314,58,polygon,FALSE,TRUE,America/Chicago,3,56083,1840042976
Columbia Heights,Columbia Heights,MN,Minnesota,27003,Anoka,27003,Anoka,45.0484,-93.2472,20254,2307,polygon,FALSE,TRUE,America/Chicago,2,55421,1840042231
Wolf Lake,Wolf Lake,MN,Minnesota,27005,Becker,27005,Becker,46.8066,-95.3526,56,69,polygon,FALSE,TRUE,America/Chicago,3,56544 56593 56464,1840043170
Currie,Currie,MN,Minnesota,27101,Murray,27101,Murray,44.0704,-95.6668,220,154,polygon,FALSE,TRUE,America/Chicago,3,56123,1840042257
New Auburn,New Auburn,MN,Minnesota,27143,Sibley,27143,Sibley,44.6728,-94.232,440,249,polygon,FALSE,TRUE,America/Chicago,3,55366,1840042755
New London,New London,MN,Minnesota,27067,Kandiyohi,27067,Kandiyohi,45.2974,-94.9477,3558,428,polygon,FALSE,TRUE,America/Chicago,3,56288 56273,1840042759
Hanska,Hanska,MN,Minnesota,27015,Brown,27015,Brown,44.1488,-94.4945,378,600,polygon,FALSE,TRUE,America/Chicago,3,56041,1840042472
Remer,Remer,MN,Minnesota,27021,Cass,27021,Cass,47.0568,-93.9126,397,115,polygon,FALSE,TRUE,America/Chicago,3,56672,1840043694
Ostrander,Ostrander,MN,Minnesota,27045,Fillmore,27045,Fillmore,43.6137,-92.4263,251,204,polygon,FALSE,TRUE,America/Chicago,3,55961,1840042814
Mentor,Mentor,MN,Minnesota,27119,Polk,27119,Polk,47.6966,-96.144,146,29,polygon,FALSE,TRUE,America/Chicago,3,56736,1840042710
Fort Ripley,Fort Ripley,MN,Minnesota,27035,Crow Wing,27035,Crow Wing,46.169,-94.363,69,20,polygon,FALSE,TRUE,America/Chicago,3,56449,1840042380
Riverland,Riverland,MN,Minnesota,27087,Mahnomen,27087,Mahnomen,47.3219,-95.9512,365,860,polygon,FALSE,TRUE,America/Chicago,3,56557,1840115221
Midway,Midway,MN,Minnesota,27087,Mahnomen,27087,Mahnomen,47.317,-95.7838,20,4,polygon,FALSE,TRUE,America/Chicago,3,56557,1840117622
Brownsville,Brownsville,MN,Minnesota,27055,Houston,27055,Houston,43.6992,-91.2823,495,103,polygon,FALSE,TRUE,America/Chicago,3,55919,1840042154
Clara City,Clara City,MN,Minnesota,27023,Chippewa,27023,Chippewa,44.9583,-95.3672,1296,284,polygon,FALSE,TRUE,America/Chicago,3,56222,1840042207
Donnelly,Donnelly,MN,Minnesota,27149,Stevens,27149,Stevens,45.6895,-96.0143,228,31,polygon,FALSE,TRUE,America/Chicago,3,56235,1840042292
Manhattan Beach,Manhattan Beach,MN,Minnesota,27035,Crow Wing,27035,Crow Wing,46.737,-94.1396,60,15,polygon,FALSE,TRUE,America/Chicago,3,56442,1840042673
Chickamaw Beach,Chickamaw Beach,MN,Minnesota,27021,Cass,27021,Cass,46.7452,-94.3844,112,19,polygon,FALSE,TRUE,America/Chicago,3,56474,1840042202
Delavan,Delavan,MN,Minnesota,27043,Faribault,27043,Faribault,43.7677,-94.0174,169,64,polygon,FALSE,TRUE,America/Chicago,3,56023,1840042280
Maplewood,Maplewood,MN,Minnesota,27123,Ramsey,27123,Ramsey,44.984,-93.0247,40918,931,polygon,FALSE,TRUE,America/Chicago,3,55117 55119 55109,1840042684
Holt,Holt,MN,Minnesota,27089,Marshall,27089,Marshall,48.2929,-96.1945,87,33,polygon,FALSE,TRUE,America/Chicago,3,56738,1840042521
Martin Lake,Martin Lake,MN,Minnesota,27003,Anoka,27003,Anoka,45.3824,-93.0886,925,259,polygon,FALSE,FALSE,America/Chicago,3,55079,1840117502
Rockford,Rockford,MN,Minnesota,27171,Wright,27171|27053,Wright|Hennepin,45.092,-93.7453,4802,683,polygon,FALSE,TRUE,America/Chicago,3,55313 55373,1840042914
Vernon Center,Vernon Center,MN,Minnesota,27013,Blue Earth,27013,Blue Earth,43.9626,-94.1666,318,249,polygon,FALSE,TRUE,America/Chicago,3,56090,1840043088
Kinbrae,Kinbrae,MN,Minnesota,27105,Nobles,27105,Nobles,43.8266,-95.4823,12,5,polygon,FALSE,TRUE,America/Chicago,3,56131,1840042577
Clearbrook,Clearbrook,MN,Minnesota,27029,Clearwater,27029,Clearwater,47.6962,-95.4287,529,396,polygon,FALSE,TRUE,America/Chicago,3,56634,1840042213
Lismore,Lismore,MN,Minnesota,27105,Nobles,27105,Nobles,43.7491,-95.9482,227,250,polygon,FALSE,TRUE,America/Chicago,3,56155,1840042636
Pierz,Pierz,MN,Minnesota,27097,Morrison,27097,Morrison,45.9772,-94.1008,1363,381,polygon,FALSE,TRUE,America/Chicago,3,56364,1840042847
